AnimalID,Group,Drug,Dose,Replicate,BodyWgt1,BodyWgt2,BodyWgt3,BodyWgt4,BodyWgt5,BodyWgt6,BodyWgt7,BodyWgt8,BodyWgt9,BodyWgt10,BodyWgt11,BodyWgt12,BodyWgt13,BodyWgtAVEwk1,BodyWgtAVE,FecalWgt1,FecalWgt2,FecalWgt3,FecalWgt4,FecalWgt5,FecalWgt6,FecalWgt7,FecalWgt8,FecalWgt9,FecalWgt10,FecalWgt11,FecalWgt12,FecalWgtAVEwk1,FecalWgtAVE,Urine_ml1,Urine_ml2,Urine_ml3,Urine_ml4,Urine_ml5,Urine_ml6,Urine_ml7,Urine_ml8,Urine_ml9,Urine_ml10,Urine_ml11,Urine_ml12,Urine_mlAVEwk1,Urine_mlAVE,Water_ml1,Water_ml2,Water_ml3,Water_ml4,Water_ml5,Water_ml6,Water_ml7,Water_ml8,Water_ml9,Water_ml10,Water_ml11,Water_ml12,Water_mlAVEwk1,Water_mlAVE,Food1,Food2,Food3,Food4,Food5,Food6,Food7,Food8,Food9,Food10,Food11,Food12,FoodAVEwk1,FoodAVE,Dose1,Dose2,Dose3,Dose4,Dose5,Dose6,Dose7,Dose8,Dose9,Dose10,Dose11,Dose12,DoseAVEwk1,DoseAVE
1007,34-DAP,34-DAP,3.3,E,228,205.6,198.4,186,196.4,216.7,228,233,232.7,240.5,242.1,243,248.5,205.1833333,222.9923077,7.08,2.23,1.63,1.1,5.26,11.89,9.03,8.22,10.67,10.85,8.12,9.79,4.865,7.155833333,5.44,0.59,0.53,,,9.42,8.3,4.42,1.48,3.24,1.94,0.3,3.995,3.566,5.4,5.38,11.28,,,37.13,27.22,26.26,30.97,27.67,22.99,24.43,14.7975,21.873,16.63,6.8,,,,33.68,25.74,21.94,28.31,29.47,20.77,28.47,19.03666667,23.53444444,17.82,17.754,37.224,0,0,122.529,89.826,86.658,102.201,91.311,75.867,80.619,32.5545,72.1809
1139,34-DAP,34-DAP,3.3,F,249.5,216.4,204.5,190.5,178.7,171,172.8,200,219.5,222.5,230,236.8,247.3,188.9833333,210.7307692,9.34,2.54,1.58,0.96,0.48,1.89,4.04,10.73,8.98,9.77,11.16,10.43,2.798333333,5.991666667,5.79,0.1,1.58,0.96,2.67,,,1.23,,8.16,4.92,4.02,2.22,3.27,5.56,3.36,5.92,4.32,1.97,,,38.09,21.46,26.53,30.82,27.39,4.226,16.542,18.84,6.4,2.74,1.8,2.75,,,40.26,27.37,38.95,37.89,41.62,6.506,21.862,18.348,11.088,19.536,14.256,6.501,0,0,125.697,70.818,87.549,101.706,90.387,11.6215,54.5886
1137,34-DAP,34-DAP,3.3,F,237,213.5,203.5,191.5,184.5,202.6,219,227.5,223.5,227,235.8,240.5,246.2,202.4333333,219.3923077,7.33,2.46,2.79,1.55,3.9,5.79,5.63,10.74,9.64,8.3,10.33,,3.97,6.223636364,9.08,0.8,0.15,0.36,0.48,,,7.56,5.8,5.04,5.19,1.03,2.174,3.549,9.69,4.04,5.33,8.26,28.5,,,17.21,23.14,25.86,14.63,21.07,11.164,15.773,20.59,8.39,6.12,7.51,20.54,,,49.93,29.54,40.97,34.39,57.86,12.63,27.584,31.977,13.332,17.589,27.258,94.05,0,0,56.793,76.362,85.338,48.279,69.531,30.701,52.0509
1142,34-DAP,34-DAP,3.3,F,226,198.8,190,170.47,165,158.6,185.7,183.5,198,201,204.3,208.6,214.4,178.095,192.6438462,8.54,2.3,2.19,0.81,1.42,3.08,2.85,8.33,6.36,8.9,9.23,7.35,3.056666667,5.113333333,8.58,0.4,0.3,0.35,0.24,,,5.38,3.29,3.94,4.45,3.11,1.974,3.004,11.23,5.91,7.56,7.16,3.72,,,27.79,16.91,18.36,22.5,20.63,7.116,14.177,20.3,8.74,7.63,1.22,0.92,,,62.69,31.75,33.09,32.33,32.93,7.762,23.16,37.059,19.503,24.948,23.628,12.276,0,0,91.707,55.803,60.588,74.25,68.079,19.569,46.7841
2018.1,4-AP,Nothing,0.0,A,219.4,233.3,242.5,256.5,266.6,277.7,294.5,301.8,312.6,320.2,334.2,342.0,352.8,261.85,288.7769231,14.5,11.4,9.4,9.2,11.0,,9.8,11.5,11.9,12.3,13.2,12.6,11.1,11.52727273,23.0,23.0,15.0,15.0,16.5,,23.5,25.5,23.0,19.0,23.0,21.5,18.5,20.72727273,46.0,42.0,40.0,46.0,47.0,,40.0,49.0,46.0,53.0,47.0,53.0,44.2,46.27272727,24.2,25.0,27.6,27.9,22.9,,25.2,32.9,21.0,,27.6,113.1,25.52,34.74,0,0,0,0,0,,0,0,0,0,0,0,0,0
2018.2,4-AP,Nothing,0.0,A,218.3,230.1,242.6,250.8,260.5,270.0,291.5,302.6,309.3,323.4,330.2,337.1,349.8,257.5833333,285.8615385,9.6,9.7,9.5,9.6,10.2,,11.9,8.9,12.7,12.2,9.1,10.9,9.72,10.39090909,17.0,12.5,13.0,14.0,12.5,,19.0,21.5,17.5,19.5,16.5,16.0,13.8,16.27272727,30.0,49.0,46.0,49.0,38.0,,39.0,40.0,74.0,45.0,47.0,46.0,42.4,45.72727273,21.9,25.9,23.2,26.6,16.3,,26.0,31.3,26.5,,30.0,108.2,22.78,33.59,0,0,0,0,0,,0,0,0,0,0,0,0,0
2018.3,4-AP,Nothing,0.0,A,222.4,228.3,243.7,251.3,257.7,271.0,289.2,296.0,307.7,308.4,323.1,328.0,333.2,256.8666667,281.5384615,10.3,9.0,10.0,13.6,9.0,,9.5,9.6,11.1,8.3,9.9,10.3,10.38,10.05454545,16.0,14.0,15.5,14.0,13.5,,19.0,19.0,18.5,16.0,17.5,15.0,14.6,16.18181818,30.0,41.0,52.0,54.0,42.0,,41.0,46.0,38.0,45.0,41.0,40.0,43.8,42.72727273,23.7,22.2,24.2,25.3,35.6,,23.7,35.6,19.8,,25.4,116.2,26.2,35.17,0,0,0,0,0,,0,0,0,0,0,0,0,0
2018.13,4-AP,Nothing,0.0,B,228.5,245.5,253.0,263.1,272.0,279.4,293.8,308.6,315.6,321.4,327.6,335.6,343.3,267.8,291.3384615,6.6,8.3,7.2,7.9,9.3,,13.3,11.2,12.2,14.1,,14.0,7.85,10.405,11.5,15.0,12.5,14.0,15.5,,14.0,25.5,12.5,13.0,23.0,7.0,13.7,14.86363636,37.0,45.0,38.0,38.0,41.0,,45.0,36.0,37.0,52.0,47.0,41.0,39.8,41.54545455,23.8,24.0,24.4,21.8,36.6,,27.7,30.8,37.3,,31.1,108.7,26.112,36.616,0,0,0,0,0,,0,0,0,0,0,0,0,0
2018.14,4-AP,Nothing,0.0,B,202.6,211.0,220.1,226.9,240.2,247.1,258.1,264.1,276.4,283.6,285.9,292.0,300.1,233.9,254.4692308,9.9,8.0,8.9,8.2,9.6,,14.9,9.2,11.8,11.7,,13.1,8.928,10.527,14.5,11.0,10.5,10.0,11.0,,16.5,8.5,13.0,15.5,16.5,10.5,11.4,12.5,37.0,38.0,36.0,38.0,75.0,,42.0,38.0,43.0,51.0,47.0,41.0,44.8,44.18181818,21.0,20.7,110.5,22.4,22.1,,22.9,22.6,36.8,,25.5,114.0,39.342,41.854,0,0,0,0,0,,0,0,0,0,0,0,0,0
2018.15,4-AP,Nothing,0.0,B,233.4,247.3,257.8,265.0,276.2,277.3,296.3,306.1,314.2,330.2,330.7,336.9,346.7,269.9833333,293.7,12.9,22.3,18.6,18.0,19.9,,15.8,10.8,13.8,17.4,,15.5,18.35,16.498,12.0,11.0,3.0,7.0,11.5,,18.0,13.2,17.5,19.0,17.5,13.0,8.9,12.97181818,49.0,54.0,49.0,47.0,25.0,,51.0,44.0,53.0,48.0,41.0,47.0,44.8,46.18181818,23.0,31.7,14.3,29.1,45.1,,30.0,32.4,22.1,,35.3,111.3,28.634,37.427,0,0,0,0,0,,0,0,0,0,0,0,0,0
