N,Group1,Treatment,Experiment,Dose,Replicate,BodyWgt0,BodyWgt1,BodyWgt2,BodyWgt3,BodyWgt4,BodyWgt5,BodyWgt6,BodyWgt7,BodyWgt8,BodyWgt9,BodyWgt10,BodyWgt11,BodyWgt12,BodyWgtAVEwk1,BodyWgtAVE,FecalWgt1,FecalWgt2,FecalWgt3,FecalWgt4,FecalWgt5,FecalWgt6,FecalWgt7,FecalWgt8,FecalWgt9,FecalWgt10,FecalWgt11,FecalWgt12,FecalWgtAVEwk1,FecalWgtAVE,Urine_ml1,Urine_ml2,Urine_ml3,Urine_ml4,Urine_ml5,Urine_ml6,Urine_ml7,Urine_ml8,Urine_ml9,Urine_ml10,Urine_ml11,Urine_ml12,Urine_mlAVEwk1,Urine_mlAVE,Water_ml1,Water_ml2,Water_ml3,Water_ml4,Water_ml5,Water_ml6,Water_ml7,Water_ml8,Water_ml9,Water_ml10,Water_ml11,Water_ml12,Water_mlAVEwk1,Water_mlAVE,Food1,Food2,Food3,Food4,Food5,Food6,Food7,Food8,Food9,Food10,Food11,Food12,FoodAVEwk1,FoodAVE,Dose1,Dose2,Dose3,Dose4,Dose5,Dose6,Dose7,Dose8,Dose9,Dose10,Dose11,Dose12,DoseAVEwk1,DoseAVE
14,control,Nothing,AP,none0,B,202.6,211,220.1,226.9,240.2,247.1,258.1,264.1,276.4,283.6,285.9,292,300.1,233.9,254.5,9.9,8,8.9,8.2,9.6,,14.9,9.2,11.8,11.7,,13.1,8.9,10.5,14.5,11,10.5,10,11,,16.5,8.5,13,15.5,16.5,10.5,11.4,12.5,37,38,36,38,75,,42,38,43,51,47,41,44.8,44.2,21,20.7,110.5,22.4,22.1,,22.9,22.6,36.8,,25.5,35.8,39.3,41.9,0,0,0,0,0,,0,0,0,0,0,0,0,0
15,control,Nothing,AP,none0,B,233.4,247.3,257.8,265,276.2,277.3,296.3,306.1,314.2,330.2,330.7,336.9,346.7,270,293.7,12.9,22.3,18.6,18,19.9,,15.8,10.8,13.8,17.4,,15.5,18.4,16.5,12,11,3,7,11.5,,18,13.2,17.5,19,17.5,13,8.9,13,49,54,49,47,25,,51,44,53,48,41,47,44.8,46.2,23,31.7,14.3,29.1,45.1,,30,32.4,22.1,,35.3,31.3,28.6,37.4,0,0,0,0,0,,0,0,0,0,0,0,0,0
16,APlow,AP,AP,low.3,B,220.5,209.2,220.4,227.6,241.4,242.8,239.1,260.2,268.5,275.6,279.5,287.9,294.2,230.1,251.3,5.8,6.8,8,8,7.9,,7.3,9.2,9.4,9.5,,10,7.3,8.2,11,8,8,8,9.5,,9.5,12,13,11.5,14.5,7.5,8.9,10.2,15,28,28,33,26,,39,32,32,28,34,34,26,29.9,19,10,26.9,23.7,41.8,,21.5,33.9,40.9,,30.3,20.4,24.3,35.3,4.5,8.4,8.4,9.9,7.8,,11.7,9.6,9.6,8.4,10.2,10.2,7.8,9
17,APlow,AP,AP,low.3,B,215.4,221.9,226.3,230.4,239.8,242.4,237.9,264.8,269.8,277.7,284.2,286.5,295.3,233.1,253.3,7,9.8,7.6,7.6,6.9,,6.7,10.3,7.9,9.7,,7.2,7.8,8.1,15,14,11.5,11,11.5,,13,12.5,10.5,11.5,13,8,12.6,12,35,33,32,35,28,,49,31,32,44,26,32,32.6,34.3,15.8,23.4,11.3,21.6,46.6,,24.1,15.8,38.8,,27,18.6,23.7,32.4,10.5,9.9,9.6,10.5,8.4,,14.7,9.3,9.6,13.2,7.8,9.6,9.8,10.3
18,APlow,AP,AP,low.3,B,208.2,213.8,219.1,223.3,231.8,233.2,226.7,252.6,258.4,264.2,271.1,276.8,284.9,224.7,243.4,6.8,7.3,7.5,5.4,5.8,,5.7,6.1,7.7,5.7,,6.4,6.5,6.4,14,11,10,9.5,10,,12.5,13,13.5,10.5,8.5,9.5,10.9,11.1,30,32,32,30,28,,56,31,33,32,28,34,30.4,33.3,12.3,21.3,25.3,19.8,47.4,,22.3,37.9,40.5,,30.4,27.5,25.2,36,9,9.6,9.6,9,8.4,,16.8,9.3,9.9,9.6,8.4,10.2,9.1,10
19,APmed,AP,AP,med1,B,216.1,205.7,204.7,210.4,220.6,224.2,232.2,245.6,248.5,255.1,261.3,263.7,238.1,216.3,232.8,9.3,5.4,6,7.7,7.2,,8.8,9,7.6,8.8,,8.3,7.1,7.8,11.5,8,7,7.5,8,,10.5,11.5,9.5,11,7.5,7.5,8.4,9,11,20,22,26,23,,31,23,27,25,25,24,20.4,23.4,15.6,17.1,18.8,19.2,59.5,,22.1,43.5,53.3,,24.2,20.3,26,38,11,20,22,26,23,,31,23,27,25,25,24,20.4,23.4
20,APmed,AP,AP,med1,B,222.7,204.9,204.9,207.3,215,222,227.9,246.6,251.1,256.4,264.8,270.1,275.5,213.7,236.1,4.9,4.5,4.3,5.2,5.5,,7.7,8.1,7.7,9.6,,8.6,4.9,6.6,8.5,6.5,5.5,6,8.5,,9.5,13,11.5,11,4,6,7,8.2,11,15,19,21,24,,35,27,27,32,25,25,18,23.7,10.8,13.5,15.2,16.3,50.1,,21.7,32.2,49.9,,23.8,21.0,21.2,34.2,11,15,19,21,24,,35,27,27,32,25,25,18,23.7
21,APmed,AP,AP,med1,B,205.3,193.8,193.9,197.1,205.9,209,208.8,231.4,240.2,243.6,249,254.3,262.6,201.4,222.7,4.9,4.2,5.1,4.9,5.2,,6.5,7.8,8.4,8.1,,8.7,4.8,6.4,8.5,3.5,2.7,2,3.5,,7.5,8.5,9,5,5.5,3.5,4,5.4,13,21,22,25,22,,42,28,28,30,29,30,20.6,26.4,11.6,15.9,13.8,17.2,78.3,,20.9,43.7,46.7,,21.3,23.1,27.3,37.5,13,21,22,25,22,,42,28,28,30,29,30,20.6,26.4
22,APhigh,AP,AP,high3.3,B,211.6,194.7,186.2,178.2,178.8,176,186.4,197.4,213,221.1,224.3,231.2,234.9,183.4,202.6,5.6,2.5,2.1,1.1,2,,6.8,7.1,7.8,8.5,,8.4,2.7,5.2,8,1.8,1,0.9,1,,6.5,3,6,5,4.5,3.5,2.5,3.7,,6,6,7,15,,32,30,30,30,26,24,8.5,20.6,11.3,7.2,15.2,5.8,85.1,,17.4,65.4,42,,29.5,28.0,24.9,39.2,0,19.8,19.8,23.1,49.5,,105.6,99,99,99,85.8,79.2,22.4,68
23,APhigh,AP,AP,high3.3,B,220.3,199.4,186.4,177.6,170.6,160.4,155.9,156.4,160.2,162.3,167.4,170.5,172.2,175.1,173.8,6.8,2,1.5,0.7,1.4,,2.5,5.5,3.8,4.5,,2.8,2.5,3.1,11,3.2,2.5,2.2,3.1,,3.6,4,3.8,3.3,2.7,3.3,4.4,3.9,2,4,5,5,6,,14,13,16,18,23,16,4.4,11.1,15.3,5.5,6.7,3.6,90.3,,8.7,74.9,72,,17,16.6,24.3,41,6.6,13.2,16.5,16.5,19.8,,46.2,42.9,52.8,59.4,75.9,52.8,14.5,36.6
